"uf_beneficiaria_sigla","20 a 29","30 a 39","40 a 49","15 a 19",">=50","10 a 14"
"AC",4,6,1,NA,NA,NA
"AL",53,99,20,6,2,NA
"AM",113,157,34,11,NA,1
"AP",17,30,10,5,1,NA
"BA",314,590,141,35,1,4
"CE",263,481,81,10,NA,NA
"DF",102,237,52,13,6,NA
"ES",182,355,69,14,1,NA
"GO",185,354,45,18,8,NA
"MA",115,139,24,6,NA,1
"MG",687,1421,313,66,10,1
"MS",69,121,19,6,2,3
"MT",106,145,30,14,NA,1
"PA",154,163,29,17,2,NA
"PB",67,117,31,3,2,NA
"PE",181,249,64,15,2,1
"PI",75,91,10,4,NA,NA
"PR",372,660,96,40,9,1
"RJ",690,1257,252,79,14,6
"RN",93,228,49,4,1,1
"RO",65,104,7,5,1,NA
"RR",NA,7,1,NA,NA,NA
"RS",146,298,72,5,3,NA
"SC",233,468,72,7,3,NA
"SE",21,55,6,1,NA,NA
"SP",2580,4698,1077,271,58,9
"TO",20,28,5,NA,NA,NA
