"uf_beneficiaria_sigla","20 a 29","30 a 39","40 a 49","15 a 19","10 a 14",">=50"
"AC",12,15,3,NA,NA,NA
"AL",117,196,40,12,NA,NA
"AM",34,84,14,4,NA,NA
"AP",17,43,8,3,NA,NA
"BA",468,882,199,44,4,4
"CE",283,646,135,18,1,1
"DF",80,191,53,10,NA,2
"ES",210,483,99,15,2,1
"GO",284,460,84,27,NA,3
"MA",115,206,33,7,NA,NA
"MG",826,1835,355,67,2,8
"MS",96,203,31,8,1,5
"MT",138,208,34,15,NA,NA
"PA",142,187,35,13,1,NA
"PB",149,254,48,4,NA,4
"PE",237,482,88,25,NA,1
"PI",102,197,39,8,NA,3
"PR",491,815,125,36,2,2
"RJ",689,1398,348,81,6,20
"RN",87,262,47,3,NA,NA
"RO",56,112,12,5,NA,1
"RR",6,11,2,NA,NA,NA
"RS",133,328,71,9,NA,4
"SC",224,470,84,6,1,NA
"SE",65,150,37,6,NA,2
"SP",2569,5257,1154,259,12,58
"TO",24,39,10,NA,NA,NA
