"uf_beneficiaria_sigla","15 a 19","20 a 29","30 a 39","40 a 49","10 a 14",">=50"
"AC",1,7,26,2,NA,NA
"AL",6,79,162,40,NA,NA
"AM",11,62,111,26,NA,NA
"AP",1,11,30,7,NA,NA
"BA",30,311,623,174,4,1
"CE",12,211,536,138,NA,2
"DF",5,63,138,43,NA,1
"ES",8,172,359,102,NA,9
"GO",10,173,289,58,NA,4
"MA",16,126,258,45,NA,1
"MG",53,723,1823,437,NA,11
"MS",5,91,242,42,NA,3
"MT",10,145,206,55,NA,2
"PA",22,138,208,33,NA,NA
"PB",3,77,179,58,NA,NA
"PE",15,152,347,77,NA,2
"PI",2,103,168,35,2,1
"PR",23,357,716,161,1,7
"RJ",59,570,1265,293,3,10
"RN",5,75,218,50,NA,2
"RO",3,53,110,24,NA,1
"RR",NA,2,10,NA,NA,NA
"RS",7,124,334,85,NA,2
"SC",11,190,425,94,NA,2
"SE",4,47,83,20,NA,NA
"SP",172,2142,4366,1144,4,54
"TO",3,29,64,17,NA,NA
