"uf_beneficiaria_sigla","20 a 29","30 a 39","40 a 49","15 a 19",">=50","10 a 14"
"AC",10,8,4,NA,NA,NA
"AL",55,79,13,3,1,NA
"AM",61,82,17,6,NA,NA
"AP",23,16,10,NA,NA,NA
"BA",360,562,128,36,3,NA
"CE",203,358,69,8,2,2
"DF",129,270,64,14,2,2
"ES",183,323,38,11,3,NA
"GO",222,288,51,18,10,1
"MA",94,155,41,12,NA,NA
"MG",710,1281,225,66,13,2
"MS",91,121,33,8,4,NA
"MT",55,80,13,4,NA,NA
"PA",152,195,29,24,1,NA
"PB",65,102,23,3,1,NA
"PE",148,274,46,19,4,NA
"PI",58,88,13,8,1,NA
"PR",395,644,100,41,5,4
"RJ",613,1011,219,64,7,3
"RN",113,219,49,10,3,NA
"RO",68,100,15,3,1,2
"RR",7,11,1,1,1,NA
"RS",161,305,52,12,1,NA
"SC",261,500,81,12,3,2
"SE",32,65,10,1,NA,NA
"SP",2368,3905,833,254,62,8
"TO",11,16,3,1,NA,1
